"DATE","BILLS TITLE","TYPE","APPOINTED DATES & SESSIONS","SITTINGS","TOTAL CONTENT URL","PROMULGATE LAWS PDF URL","BILLS URL"
"102/05/07","修正陸海空軍刑法第五十四條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01432/01432102050700.htm","http://glin.ly.gov.tw/file/legal/tw2205201308.pdf",""
"102/05/07","修正幼兒教育及照顧法第五十五條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/05151/05151102050701.htm","http://glin.ly.gov.tw/file/legal/tw2205201311.pdf",""
"102/05/07","修正幼兒教育及照顧法第三十條及第三十二條條文（備註：2013/05/14第12次會議復議決定：另定期處理）","法律案","第８屆第３會期（2013-02-26~2013-05-31）","第11次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3940"
"102/05/07","修正幼兒教育及照顧法第十條及第四十三條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/05151/05151102050702.htm","http://glin.ly.gov.tw/file/legal/tw2205201311.pdf",""
"102/05/07","修正陸海空軍軍官士官任官條例第十六條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01406/01406102050700.htm","http://glin.ly.gov.tw/file/legal/tw2205201309.pdf",""
"102/05/07","修正原住民族教育法第二十三條及第二十五條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01748/01748102050700.htm","http://glin.ly.gov.tw/file/legal/tw2205201310.pdf",""
"102/05/07","修正幼兒教育及照顧法第十五條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/05151/05151102050700.htm","http://glin.ly.gov.tw/file/legal/tw2205201311.pdf",""
"102/05/07","本院親民黨黨團，建請決議：「一、當前十二年國民基本教育政策規劃中，有關高中、高職及五專前三年學生全面免學費之政策，要求行政院須在兼顧總體財政收支平衡前提下，於民國103年如規劃期程實施。有關高中、高職及五專之招生入學方式改革，以及相關配套則缺乏妥善準備，行政院應立即召開全國性十二年國民基本教育會議尋求建立社會共識。二、有關十二年國民基本教育招生入學方式之改革，行政院及其所屬教育部應積極完成下列事項：1.完成推動十二年國民基本教育之相關立法，以完備法源依據；2.配合十二年國民基本教育之新版課程綱要正式公告實施；3.訂定符合『可公平客觀量化、不歧視個體先天條件、不受外力影響評量、不擴大家庭之社經階級差異』等基本原則之入學評量項目。三、行政院院長應就上述決議於本院第3會期內，至院會進行專案報告並備質詢。」是否有當？請公決案。","其他","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3776"
"102/05/07","本院親民黨黨團，鑑於近年美國成功開採頁岩氣（ShaleGas），其低廉價格與龐大產能已動搖國際能源市場，而與台灣臨近之韓國及日本均可望於近日取得，將使我國產業在生產成本上居於劣勢。爰此，本院親民黨黨團，建請決議：「行政院應儘速推動下列工作：一、與美國TIFA談判中優先排入頁岩氣等之能源項目。二、多方尋求取得各種長期穩定且價格合理的能源管道。三、相關部會與事業，應儘速開展對於國內頁岩氣的探勘，並評估其開採價值。四、經濟部應組專案小組，立即研發關於使用頁岩氣所需的設備調整、機具改換、及各種應用技術，以迅速引領台灣跟上國際能源變革腳步，保持產業的國際競爭力。」是否有當？敬請公決。","其他","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3775"
"102/05/03","增訂漁業法第六十九條之一條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第11次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/03108/03108102050300.htm","http://glin.ly.gov.tw/file/legal/tw0805201310.pdf",""
